sample_scope,id,payment_pi,payment_type,weighted_count_denominator,weighted_count_numerator,weighted_dollar_denominator,weighted_dollar_numerator,weighted_count_share,weighted_dollar_share
full_unrestricted,105125,4,Debit card,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,5,Prepaid/gift/EBT card,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,6,Bank account number payment,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,7,Online banking bill payment,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,8,Money order,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,10,Mobile payment app,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,11,Account-to-account transfer,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,13,Other payment method,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,14,Deduction from income,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105126,1,Cash,5.727946788072586,0.8296037912368774,455.16348031133407,5.031546993851661,0.14483440959409355,0.011054373234008269
full_unrestricted,105126,2,Check,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,3,Credit card,5.727946788072586,1.414253830909729,455.16348031133407,72.08687024354934,0.24690414964305482,0.15837577785072204
full_unrestricted,105126,4,Debit card,5.727946788072586,2.9843631982803345,455.16348031133407,102.196328933537,0.5210179683398476,0.2245266445006401
full_unrestricted,105126,5,Prepaid/gift/EBT card,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,6,Bank account number payment,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,7,Online banking bill payment,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,8,Money order,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,10,Mobile payment app,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,11,Account-to-account transfer,5.727946788072586,0.49972596764564514,455.16348031133407,275.8487341403961,0.08724347242300402,0.6060432044146297
full_unrestricted,105126,13,Other payment method,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105126,14,Deduction from income,5.727946788072586,0,455.16348031133407,0,0,0
full_unrestricted,105128,1,Cash,0.999887228012085,0.24997180700302124,28.93423666059971,2.624703973531723,0.25,0.09071274298056156
full_unrestricted,105128,2,Check,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,3,Credit card,0.999887228012085,0.7499154210090637,28.93423666059971,26.309532687067986,0.75,0.9092872570194385
full_unrestricted,105128,4,Debit card,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,5,Prepaid/gift/EBT card,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,6,Bank account number payment,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,7,Online banking bill payment,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,8,Money order,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,10,Mobile payment app,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,11,Account-to-account transfer,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,13,Other payment method,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105128,14,Deduction from income,0.999887228012085,0,28.93423666059971,0,0,0
full_unrestricted,105129,1,Cash,2.1254613995552063,0,46.81293867826462,0,0,0
full_unrestricted,105129,2,Check,2.1254613995552063,0,46.81293867826462,0,0,0
full_unrestricted,105129,3,Credit card,2.1254613995552063,0,46.81293867826462,0,0,0
full_unrestricted,105129,4,Debit card,2.1254613995552063,2.1254613995552063,46.81293867826462,46.81293867826462,1,1
full_unrestricted,105129,5,Prepaid/gift/EBT card,2.1254613995552063,0,46.81293867826462,0,0,0
