sample_window,qyears,truncation_rule,n_households,n_cuids,n_complete_12_month_households,n_partial_panel_households,weighted_population,mean_abs_diff,max_abs_diff,household_gap_vs_target,complete_12_month_gap_vs_target,partial_panel_gap_vs_target,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require age 25-64 in interviews 2-5,2176,1632,2176,0,7574802.466249999,1.2187020741197754,1.8280531111795995,-567,12,-579,7.64353663781588,30.184516473363846,62.1719468888204,579
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require interviews 2-5 consecutive,2242,0,2242,0,7776165.268499997,1.2817208047743704,1.9225812071615707,-501,78,-579,7.5844138677079105,30.33816733945363,62.07741879283843,579
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require interviews 2-5 present,2242,0,2242,0,7776165.268499997,1.2817208047743704,1.9225812071615707,-501,78,-579,7.5844138677079105,30.33816733945363,62.07741879283843,579
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require positive weights in interviews 2-5,2242,0,2242,0,7776165.268499997,1.2817208047743704,1.9225812071615707,-501,78,-579,7.5844138677079105,30.33816733945363,62.07741879283843,579
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require valid liquid assets in interviews 2-5,2242,0,2242,0,7776165.268499997,1.2817208047743704,1.9225812071615707,-501,78,-579,7.5844138677079105,30.33816733945363,62.07741879283843,579
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require interviews 2-5 consecutive,2251,0,2251,0,7838719.796999997,1.4605234572931545,2.1907851859397383,-492,87,-579,7.898635035876134,30.29215015006359,61.80921481406026,579
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require interviews 2-5 present,2251,0,2251,0,7838719.796999997,1.4605234572931545,2.1907851859397383,-492,87,-579,7.898635035876134,30.29215015006359,61.80921481406026,579
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require positive weights in interviews 2-5,2251,0,2251,0,7838719.796999997,1.4605234572931545,2.1907851859397383,-492,87,-579,7.898635035876134,30.29215015006359,61.80921481406026,579
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require valid liquid assets in interviews 2-5,2251,0,2251,0,7838719.796999997,1.4605234572931545,2.1907851859397383,-492,87,-579,7.898635035876134,30.29215015006359,61.80921481406026,579
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require age 25-64 in interviews 2-5,2190,0,2190,0,7587090.224749997,1.512934739489676,2.2694021092345054,-553,26,-579,7.723300664574718,30.546101444659804,61.730597890765495,579
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require age 25-64 in interviews 2-5,2202,0,2202,0,7659391.382249996,1.6786952775991562,2.518042916398734,-541,38,-579,7.92984734932789,30.588195567070844,61.481957083601266,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require complete income in interviews 2-5,2077,2077,2077,0,7198681.070749993,1.2569212836452504,1.8853819254678257,-666,-87,-579,7.345620813076362,30.539761112391563,62.114618074532174,753
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require complete income in interviews 2-5,2026,1540,2026,0,7062318.877750001,1.425977410299043,2.1389661154485538,-717,-138,-579,7.824331757249212,30.314634358199363,61.861033884551446,855
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require complete income in interviews 2-5,2012,562,2012,0,6976128.25075,1.2814533832151735,1.922180074822755,-731,-152,-579,7.01039812015242,30.911781954670346,62.077819925177245,883
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require complete income in interviews 2-5,1992,1035,1992,0,6979710.484249993,1.1631156783631367,1.7446735175446761,-751,-172,-579,7.083269741139195,30.66140377640554,62.255326482455324,923
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require complete income in interviews 2-5,1988,0,1988,0,6901695.801750004,1.9625105259732931,2.943765788959965,-755,-176,-579,7.60600180490271,31.337763984057204,61.056234211040035,931
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,require complete income in interviews 2-5,1982,0,1982,0,6889052.358999994,2.180343674464419,3.2705155116965727,-761,-182,-579,8.017586417795444,31.25292909390124,60.72948448830343,943
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require second or fifth balance detail row,1848,1848,1462,386,6373806.574499998,15.265036062007017,22.897554093010548,-895,-702,-193,11.842590097883742,47.05496399512676,41.10244590698945,1597
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require second or fifth balance detail row,1852,1367,1450,402,6388974.979000006,15.8405249021402,23.760787353210375,-891,-714,-177,12.533328732417923,47.2274586207923,40.239212646789625,1605
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require second or fifth balance detail row,1847,942,1453,394,6433272.7245,15.69658343734859,23.54487515602289,-896,-711,-185,11.953094889347556,47.59178026667532,40.45512484397711,1607
