QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20181,03764202,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,75,D,75,D,,A,1,D
20181,03764202,34,0,1,,A,1,D,,A,1,D,1,D,,A,47,E,47,E,48,E,98,E,99,E,98,E,54,E,53,E,53,E,,A,,A,,A,2,D,1,D
20181,03764212,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,92,D,150,D,154,D,,A,1,D
20181,03764212,20,0,1,,A,1,D,,A,1,D,1,D,,A,40,E,39,E,40,E,66,E,65,E,66,E,44,E,46,E,44,E,,A,,A,,A,2,D,1,D
20181,03764242,11,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20181,03764262,37,0,1,,A,,A,,A,1,D,2,D,,A,56,D,56,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764282,16,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,276,T,281,T,280,T,,A,,A,,A,,A,1,D
20181,03764292,17,0,1,,A,,A,,A,1,D,2,D,,A,119,D,119,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764292,18,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,150,D,150,D,150,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764302,31,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D
20181,03764302,32,0,1,,A,,A,,A,1,D,2,D,,A,20,D,20,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764332,6,0,1,,A,1,D,,A,1,D,1,D,,A,82,E,79,E,82,E,119,E,119,E,119,E,64,E,67,E,64,E,,A,,A,,A,2,D,1,D
20181,03764352,22,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,108,D,108,D,108,D,,A,1,D
20181,03764402,35,0,1,,A,1,D,,A,1,D,1,D,,A,52,E,51,E,51,E,78,E,81,E,79,E,54,E,52,E,54,E,,A,,A,,A,2,D,1,D
20181,03764412,55,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,5,D,5,D,5,D,,A,,A,,A,,A,1,D
20181,03764412,56,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D
20181,03764422,8,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
20181,03764422,9,0,1,,A,,A,,A,1,D,2,D,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764432,16,0,1,,A,,A,,A,1,D,1,D,,A,34,E,33,E,33,E,51,E,52,E,52,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03764432,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D
20181,03764492,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,1,D
20181,03764492,26,0,1,,A,,A,,A,1,D,1,D,,A,41,E,40,E,41,E,69,E,70,E,69,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03764502,48,0,1,,A,1,D,,A,1,D,1,D,,A,52,D,52,D,52,D,89,D,89,D,89,D,39,D,39,D,39,D,,A,,A,,A,1,D,1,D
20181,03764502,49,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,40,D,40,D,,A,1,D
20181,03764514,46,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,240,D,240,D,240,D,,A,1,D
20181,03764514,47,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764522,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,69,D,69,D,69,D,,A,1,D
20181,03764532,39,0,1,,A,,A,2,D,1,D,2,D,,A,64,E,65,E,64,E,,A,,A,,A,,A,,A,,A,186,E,185,E,186,E,2,D,1,D
20181,03764532,40,0,1,,A,,A,,A,1,D,1,D,,A,73,E,74,E,73,E,152,E,151,E,152,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03764592,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,350,D,375,D,375,D,,A,1,D
20181,03764592,28,0,1,,A,,A,,A,1,D,1,D,,A,41,E,39,E,39,E,69,E,71,E,71,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03764642,48,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,190,D,190,D,190,D,,A,1,D
20181,03764642,49,0,1,,A,1,D,,A,1,D,2,D,,A,30,E,32,E,30,E,,A,,A,,A,35,E,37,E,35,E,,A,,A,,A,2,D,1,D
20181,03764642,50,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,90,D,90,D,130,D,,A,,A,,A,,A,,A,,A,,A,2,D
