NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03891284,12,2018,900170,2,T,4,8079.6857
03891284,12,2018,900170,2,T,5,8079.6857
03891284,12,2018,900180,2,,1,416.6667
03891284,12,2018,900180,2,,2,416.6667
03891284,12,2018,900180,2,,3,416.6667
03891284,12,2018,900180,2,,4,416.6667
03891284,12,2018,900180,2,,5,416.6667
03891284,12,2018,900190,2,,1,2333.3333
03891284,12,2018,900190,2,,2,2333.3333
03891284,12,2018,900190,2,,3,2333.3333
03891284,12,2018,900190,2,,4,2333.3333
03891284,12,2018,900190,2,,5,2333.3333
03891284,12,2018,980000,2,T,1,10829.6857
03891284,12,2018,980000,2,T,2,10829.6857
03891284,12,2018,980000,2,T,3,10829.6857
03891284,12,2018,980000,2,T,4,10829.6857
03891284,12,2018,980000,2,T,5,10829.6857
03891284,12,2018,980071,2,T,1,8708.25
03891284,12,2018,980071,2,T,2,8708.25
03891284,12,2018,980071,2,T,3,8708.25
03891284,12,2018,980071,2,T,4,8708.25
03891284,12,2018,980071,2,T,5,8708.25
03891354,10,2018,800940,2,,1,223.1667
03891354,10,2018,800940,2,,2,223.1667
03891354,10,2018,800940,2,,3,223.1667
03891354,10,2018,800940,2,,4,223.1667
03891354,10,2018,800940,2,,5,223.1667
03891354,10,2018,900000,2,,1,2916.6667
03891354,10,2018,900000,2,,2,2916.6667
03891354,10,2018,900000,2,,3,2916.6667
03891354,10,2018,900000,2,,4,2916.6667
03891354,10,2018,900000,2,,5,2916.6667
03891354,10,2018,980000,2,,1,2916.6667
03891354,10,2018,980000,2,,2,2916.6667
03891354,10,2018,980000,2,,3,2916.6667
03891354,10,2018,980000,2,,4,2916.6667
03891354,10,2018,980000,2,,5,2916.6667
03891354,10,2018,980071,2,,1,3051.3333333
03891354,10,2018,980071,2,,2,3051.3333333
03891354,10,2018,980071,2,,3,3051.3333333
03891354,10,2018,980071,2,,4,3051.3333333
03891354,10,2018,980071,2,,5,3051.3333333
03891354,11,2018,800940,2,,1,223.1667
03891354,11,2018,800940,2,,2,223.1667
03891354,11,2018,800940,2,,3,223.1667
03891354,11,2018,800940,2,,4,223.1667
03891354,11,2018,800940,2,,5,223.1667
03891354,11,2018,900000,2,,1,2916.6667
03891354,11,2018,900000,2,,2,2916.6667
03891354,11,2018,900000,2,,3,2916.6667
03891354,11,2018,900000,2,,4,2916.6667
03891354,11,2018,900000,2,,5,2916.6667
03891354,11,2018,980000,2,,1,2916.6667
03891354,11,2018,980000,2,,2,2916.6667
03891354,11,2018,980000,2,,3,2916.6667
03891354,11,2018,980000,2,,4,2916.6667
03891354,11,2018,980000,2,,5,2916.6667
03891354,11,2018,980071,2,,1,3051.3333333
03891354,11,2018,980071,2,,2,3051.3333333
03891354,11,2018,980071,2,,3,3051.3333333
03891354,11,2018,980071,2,,4,3051.3333333
03891354,11,2018,980071,2,,5,3051.3333333
03891354,12,2018,800940,2,,1,223.1667
03891354,12,2018,800940,2,,2,223.1667
03891354,12,2018,800940,2,,3,223.1667
03891354,12,2018,800940,2,,4,223.1667
03891354,12,2018,800940,2,,5,223.1667
03891354,12,2018,900000,2,,1,2916.6667
03891354,12,2018,900000,2,,2,2916.6667
03891354,12,2018,900000,2,,3,2916.6667
03891354,12,2018,900000,2,,4,2916.6667
03891354,12,2018,900000,2,,5,2916.6667
03891354,12,2018,980000,2,,1,2916.6667
03891354,12,2018,980000,2,,2,2916.6667
03891354,12,2018,980000,2,,3,2916.6667
