NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03891394,11,2018,005200,2,12500.0000,
03891394,11,2018,005210,2,10416.6667,
03891394,11,2018,005400,2,125.0000,
03891394,11,2018,005410,2,1083.3333,
03891394,11,2018,005420,2,50.0000,
03891394,11,2018,005500,2,8333.3333,
03891394,11,2018,005510,2,10000.0000,
03891394,11,2018,800940,2,605.6667,
03891394,11,2018,900000,2,7916.6667,
03891394,11,2018,950004,2,1407.4167,
03891394,11,2018,950014,2,228.3333,
03891394,11,2018,980000,2,7916.6667,
03891394,11,2018,980010,2,0.0833,
03891394,11,2018,980020,2,3.6667,
03891394,11,2018,980030,2,0.0833,
03891394,11,2018,980071,2,6280.9167,
03891394,11,2018,980090,1,8.3333,
03891394,11,2018,980210,2,8.3333,
03891394,11,2018,980240,2,8.3333,
03891394,11,2018,980281,2,8.3333,
03891394,11,2018,980286,2,8.3333,
03891394,11,2018,980310,2,8.3333,
03891394,11,2018,980340,2,8.3333,
03891394,11,2018,980350,2,8.3333,
03891394,11,2018,980360,2,0.0833,
03891394,12,2018,005100,2,333.3333,
03891394,12,2018,005110,2,333.3333,
03891394,12,2018,005200,2,12500.0000,
03891394,12,2018,005210,2,10416.6667,
03891394,12,2018,005400,2,125.0000,
03891394,12,2018,005410,2,1083.3333,
03891394,12,2018,005420,2,50.0000,
03891394,12,2018,005500,2,8333.3333,
03891394,12,2018,005510,2,10000.0000,
03891394,12,2018,800940,2,605.6667,
03891394,12,2018,900000,2,7916.6667,
03891394,12,2018,950004,2,1407.4167,
03891394,12,2018,950014,2,228.3333,
03891394,12,2018,980000,2,7916.6667,
03891394,12,2018,980010,2,0.0833,
03891394,12,2018,980020,2,3.6667,
03891394,12,2018,980030,2,0.0833,
03891394,12,2018,980071,2,6280.9167,
03891394,12,2018,980090,1,8.3333,
03891394,12,2018,980210,2,8.3333,
03891394,12,2018,980240,2,8.3333,
