detail,component,exclusion_group,fred_series,ucc
health_insurance,health_insurance,other,CUUR0000SAM2,580112
health_insurance,health_insurance,other,CUUR0000SAM2,580113
health_insurance,health_insurance,other,CUUR0000SAM2,580114
health_insurance,health_insurance,other,CUUR0000SAM2,580311
health_insurance,health_insurance,other,CUUR0000SAM2,580312
health_insurance,health_insurance,other,CUUR0000SAM2,580901
health_insurance,health_insurance,other,CUUR0000SAM2,580903
health_insurance,health_insurance,other,CUUR0000SAM2,580904
health_insurance,health_insurance,other,CUUR0000SAM2,580905
health_insurance,health_insurance,other,CUUR0000SAM2,580906
cash_contributions,cash_contributions,other,CPIAUCNS,800111
cash_contributions,cash_contributions,other,CPIAUCNS,800121
cash_contributions,cash_contributions,other,CPIAUCNS,800804
cash_contributions,cash_contributions,other,CPIAUCNS,800811
cash_contributions,cash_contributions,other,CPIAUCNS,800821
cash_contributions,cash_contributions,other,CPIAUCNS,800831
cash_contributions,cash_contributions,other,CPIAUCNS,800841
cash_contributions,cash_contributions,other,CPIAUCNS,800851
cash_contributions,cash_contributions,other,CPIAUCNS,800861
